,药名,四气,五味,升降浮沉,归经
0,麻黄,温,辛、微苦,,肺、膀胱
1,桂枝,温,辛、甘,,肺、膀胱
2,紫苏叶,温,辛,,肺、脾
3,紫苏梗,温,辛,,肺、脾
4,生姜,微温,辛,,脾、肺
5,生姜皮,凉,辛,,脾
6,生姜汁,微温,辛,,脾、肺
7,香薷,微温,辛,,脾、肺、胃
8,荆芥,微温,辛,,肺、肝
9,荆芥炭,微温,辛、涩,,肺、肝
10,防风,微温,辛、甘,,膀胱、甘、脾
11,羌活,温,辛、苦,,膀胱、肾
12,白芷,温,辛,,肺、胃、大肠
13,细辛,温,辛,,心、肺、肾
14,藁本,温,辛,,膀胱
15,苍耳子,温,辛、苦,,肺
16,苍耳草,微寒,苦、辛,,
17,辛夷,温,辛,,肺、胃
18,葱白,温,辛,,肺、胃
19,胡荽,温,辛,,肺、胃
20,西河柳,平,甘、辛,,肺、胃
21,薄荷,凉,辛,,肺、肝
22,牛蒡子,寒,辛、苦,,肺、胃
23,蝉蜕,寒,甘,,肺、肝
24,桑叶,寒,甘、苦,,肺、肝
25,菊花,微寒,辛、甘、苦,,肺、肝
26,蔓荆子,微寒,辛、苦,,膀胱、肝、胃
27,柴胡,微寒,辛、苦,,肝、胆、肺
28,升麻,微寒,微甘、辛,,肺、脾、胃、大肠
29,葛根,凉,甘、辛,,脾、胃、肺
30,葛花,平,甘,,
31,淡豆豉,凉,苦、辛,,肺、胃
32,大豆黄卷,平,甘,,脾、胃
33,浮萍,寒,辛,,肺、膀胱
34,木贼,平,甘、苦,,肺、肝
35,谷精草,平,辛、甘,,肝、 肺
36,石膏,大寒,甘、辛,,肺、胃
37,寒水石,寒,辛、咸,,心、胃、肾
38,知母,寒,苦、甘,,肺、胃、肾
39,芦根,寒,甘,,肺、胃
40,天花粉,微寒,甘、微苦,,肺、胃
41,竹叶,寒,甘、辛、淡,,心、胃、小肠
42,淡竹叶,寒,甘、淡,,心、胃、小肠
43,鸭跖草,寒,甘、淡,,肺、胃、小肠
44,栀子,寒,苦,,心、肺、三焦
45,夏枯草,寒,辛、苦,,肝、胆
46,决明子,微寒,甘、苦、咸,,肝、大肠
47,密蒙花,微寒,甘,,肝
48,青葙子,微寒,苦,,肝
49,黄芩,寒,苦,,肺、胆、脾、大肠、小肠
50,黄连,寒,苦,,心、脾、胃、肝、胆、大肠
51,黄柏,寒,苦,,肾、膀胱
52,龙胆,寒,苦,,肝、胆
53,秦皮,寒,苦、涩,,肝、胆、大肠
54,苦参,寒,苦,,心、肝、胃、大肠、膀胱
55,白鲜皮,寒,苦,,脾、胃、膀胱
56,金银花,寒,甘,,肺、心、胃
57,忍冬藤,寒,甘,,肺、胃
58,山银花,寒,甘,,肺、心、胃
59,连翘,微寒,苦,,肺、心、小肠
60,穿心莲,寒,苦,,心、肺、大肠、膀胱
61,大青叶,寒,苦,,心、胃
62,板蓝根,寒,苦,,心、胃
63,青黛,寒,咸,,肝
64,贯众,微寒,苦,,肝、胃
65,蒲公英,寒,苦、肝,,肝、胃
66,紫花地丁,寒,苦、辛,,心、肝
67,野菊花,微寒,苦、辛,,肝、心
68,重楼,微寒,苦,,肝
69,拳参,微寒,苦、涩,,肺、肝、大肠
70,漏芦,寒,苦,,胃
71,土茯苓,平,肝、淡,,肝、胃
72,鱼腥草,微寒,辛,,肺
73,金荞麦,凉,微辛、涩,,肺
74,大血藤,平,苦,,大肠、肝
75,败酱草,微寒,苦,,胃、大肠、肝
76,墓头回,微寒,辛、苦,,
77,射干,寒,苦,,肺
78,山豆根,寒,苦,,肺、胃
79,北豆根,寒,苦,,肺、胃、大肠
80,马勃,平,辛,,肺
81,青果,平,甘、酸,,肺、胃
82,西青果,平,苦、酸、涩,,肺、大肠
83,木蝴蝶,凉,苦、甘,,肺、肝、胃
84,白头翁,寒,苦,,胃、大肠
85,马齿苋,寒,酸,,肝、大肠
86,鸦胆子,寒,苦,,大肠、肝
87,地锦草,平,辛,,肝、大肠
88,半边莲,平,辛,,心、小肠、肺
89,半枝莲,寒,辛、苦、寒,,肺、肝、肾
90,白花蛇舌草,寒,微苦、甘、寒,,胃、大肠、小肠
91,山慈菇,凉,甘、微辛,,肝、脾
92,熊胆粉,寒,苦,,肝、胆、心
93,猪胆粉,寒,苦,,肝、 胆、肺、大肠
94,千里光,寒,苦,,肺、肝
95,白蔹,微寒,苦,,心、胃
96,四季青,凉,苦、涩,,肺、大肠、膀胱
97,绿豆,寒,甘,,心、胃
98,绿豆衣,寒,甘,,心、胃
99,赤小豆,平,甘、酸,,心、小肠
100,黑豆,平,甘,,脾、肾
101,生地黄,寒,甘,,心、肝、肾
102,鲜地黄,寒,甘、苦,,心、肝、肾
103,玄参,微寒,甘、苦、咸,,肺、胃、肾
104,牡丹皮,微寒,苦、辛,,心、肝、肾
105,赤芍,微寒,苦,,肝
106,紫草,寒,甘、咸,,心、肝
107,紫草茸,寒,苦,,心、肝
108,水牛角,寒,苦,,心、肝
109,青蒿,寒,苦、辛,,肝、胆
110,白薇,寒,苦、咸,,胃、肝、肾
111,地骨皮,寒,甘,,肺、肝、肾
112,银柴胡,微寒,甘,,肝、胃
113,胡黄连,寒,苦,,肝、胃、大肠
114,大黄,寒,苦,,脾、胃、大肠、肝、心包经
115,芒硝,寒,苦、咸,,胃、大肠
116,番泻叶,寒,甘、苦,,大肠
117,芦荟,寒,苦,,肝、胃、大肠
118,火麻仁,平,甘,,脾、胃、大肠
119,郁李仁,平,辛、苦、甘,,脾、大肠、小肠
120,松子仁,温,甘,,大肠、肺
121,甘遂,寒,苦,,肺、肾、大肠
122,京大戟,寒,苦,,肺、脾、肾
123,红大戟,寒,苦,,肺、脾、肾
124,芫花,温,苦、辛,,肺、脾、肾
125,狼毒,寒,苦,,肺、脾、肾、大肠
126,牵牛子,寒,苦,,肺、肾、大肠
127,巴豆霜,热,辛,,胃、大肠
128,巴豆,热,辛,,胃、大肠
129,千金子,温,辛,,肝、肾、大肠
130,独活,微温,辛、苦,,肾、膀胱
131,威灵仙,温,辛、咸,,膀胱
132,徐长卿,温,辛,,肝、胃
133,川乌,热,辛、苦,,心、肝、肾、脾
134,草乌,热,辛、苦,,心、肝、肾、脾
135,蕲蛇,温,甘、咸,,肝
136,金钱白花蛇,温,甘、咸,,肝
137,乌梢蛇,平,甘,,肝
138,蛇蜕,平,咸、甘,,肝
139,木瓜,温,酸,,肝、脾
140,蚕沙,温,甘、辛,,肝、脾、胃
141,伸筋草,温,微苦、辛,,肝、脾、肾
142,油松节,温,苦、辛,,肝、肾
143,松花粉,温,甘,,肝、脾
144,海风藤,微温,辛、苦,,肝
145,青风藤,平,苦、辛,,肝、脾
146,丁公藤,温,辛,,肝、脾、胃
147,昆明山海棠,微温,苦、辛,,肝、脾、肾
148,路路通,平,苦,,肝、肾
149,穿山龙,温,甘、苦,,肝、肾、肺
150,秦艽,平,辛、苦,,胃、肝、胆
151,防己,寒,苦,,膀胱、肺
152,桑枝,平,微苦,,肝
153,豨莶草,寒,辛 、苦,,肝、肾
154,臭梧桐,凉,辛、苦、甘,,肝
155,海桐皮,平,辛、苦,,肝
156,络石藤,微寒,苦,,心、肝、肾
157,雷公藤,寒,苦、辛,,肝、肾
158,老鹳草,平,辛、苦,,肝、肾、脾
159,丝瓜络,平,甘,,肺、胃、肝
160,五加皮,温,辛、苦,,肝、肾
161,桑寄生,平,苦、甘,,肝、肾
162,狗脊,温,苦、甘,,肝 、肾
163,千年健,温,苦、辛,,肝、肾
164,雪莲花,温,微苦、甘,,肝、肾
165,天山雪莲,温,微苦,,
166,广藿香,微温,辛,,脾、胃、肺
167,佩兰,平,辛,,脾、胃、肺
168,苍术,温,辛、苦,,脾、胃、肝
169,厚朴,温,苦、辛,,脾、胃、肺、大肠
170,厚朴花,微温,苦,,脾、胃
171,砂仁,温,辛,,脾、胃、肾
172,砂仁壳,温,辛,,脾、胃、肾
173,豆蔻,温,辛,,肺、脾、胃
174,豆蔻壳,温,辛,,肺、脾、胃
175,草豆蔻,温,辛,,脾、胃
176,草果,温,辛,,脾、胃
177,茯苓,平,甘、淡,,心、肺、脾、肾
178,茯苓皮,平,甘、淡,,心、肺、脾、肾
179,茯神,平,甘、淡,,心、肺、脾、肾
180,薏苡仁,凉,甘、淡,,脾、胃、肺
181,猪苓,平,甘、淡,,肾、膀胱
182,泽泻,寒,甘、淡,,肾、膀胱
183,冬瓜皮,凉,甘,,脾、小肠
184,冬瓜子,微寒,甘,,肺、脾、小肠
185,玉米须,平,甘,,膀胱、肝、肝、胆
186,葫芦,平,甘,,肺、肾
187,香加皮,温,辛、苦,,肝、肾、心
188,枳椇子,平,甘,,胃
189,车前子,寒,甘,,肝、肾、肺、小肠
190,车前草,寒,甘、淡,,膀胱、肺、胃
191,木通,寒,苦,,心、小肠、膀胱
192,川木通,寒,苦,,心、小肠、膀胱
193,通草,微寒,甘、淡,,肺、胃
194,瞿麦,寒,苦,,心、小肠
195,萹蓄,微寒,苦,,膀胱
196,地肤子,寒,辛、苦,,肾、膀胱
197,海金沙,寒,甘、咸,,膀胱、小肠
198,海金沙藤,寒,甘、咸,,膀胱、小肠
199,石韦,微寒,苦、甘,,肺、膀胱
200,冬葵子,凉,甘、涩,,大肠、小肠、膀胱
201,灯心草,微寒,甘、淡,,心、肺、小肠
202,萆薢,平,苦,,肾、胃
203,茵陈,微寒,苦、辛,,脾、胃、肝、胆
204,金钱草,微寒,甘、淡、咸,,肝、胆、肾、膀胱
205,连钱草,微寒,辛、微苦,,肝、肾、膀胱
206,广金钱草,凉,甘、淡,,肝、肾、膀胱
207,江西金钱草,凉,甘、淡,,肝、胆、肾
208,小金钱草,凉,苦、辛,,肺、肝、胆
209,虎杖,微寒,苦,,肝、胆、肺
210,地耳草,凉,苦,,肝、胆
211,垂盆草,凉,甘、淡,,肝、胆、小肠
212,鸡骨草,凉,甘、微苦,,肝、胃
213,珍珠草,凉,甘、苦,,肝、肺
214,附子,大热,辛、甘,,心、肾、脾
215,干姜,热,辛,,脾、胃、肾、心、肺
216,肉桂,大热,辛、甘,,肾、脾、心、肝
217,吴茱萸,热,辛、苦,,肝、脾、胃、肾
218,小茴香,温,辛,,肝、肾、脾、胃
219,八角茴香,温,辛,,肝、肾、脾、胃
220,丁香,温,辛,,脾、胃、肾
221,母丁香,温,辛,,脾、胃、肾
222,高良姜,热,辛,,脾、胃
223,红豆蔻,温,辛,,脾、肺
224,花椒,温,辛,,脾、胃、肾
225,椒目,寒,苦,,肺、肾、膀胱
226,胡椒,热,辛,,胃、大肠
227,荜 茇,热,辛,,胃、大肠
228,荜澄茄,温,辛,,脾、胃、肾、膀胱
229,陈皮,温,苦、辛,,脾、肺
230,橘红,温,辛、苦,,脾、肺
231,橘核,平,苦,,肝、肾
232,橘络,平,甘、苦,,肝、肺
233,橘叶,平,辛、苦,,肝
234,化橘红,温,辛、苦,,肺、脾
235,青皮,温,苦、甘·,,甘、胆、胃
236,枳实,微寒,苦、辛、酸,,脾、胃
237,枳壳,微寒,苦、辛、酸,,脾、胃
238,木香,温,辛、苦,,脾、胃、大肠、三焦、胆
239,川木香,温,辛、苦,,脾、胃、大肠、胆
240,土木香,温,辛、苦,,肝、脾
241,沉香,微温,辛、苦,,脾、胃、肾
242,檀香,温,辛,,脾、胃、心、肺
243,川楝子,寒,苦,,肝、小肠、膀胱
244,乌药,温,辛,,肺、脾、肾、膀胱
245,荔枝核,温,微苦，甘,,肝、肾
246,香附,平,辛、微苦、微甘,,甘、脾、三焦
247,佛手,温,辛、苦、酸,,肝、脾、胃、肺
248,香橼,温,辛、苦、酸,,肝、脾、肺
249,玫瑰花,温,甘、微苦,,肝、脾
250,梅花,平,微酸,,肝、胃、肺
251,娑罗子,温,甘,,肝、胃
252,薤白,温,辛、苦,,心、肺、胃、大肠
253,大腹皮,微温,辛,,脾、胃、大肠、小肠
254,甘松,温,辛、甘,,脾、胃
255,九香虫,温,咸,,肝、脾、肾
256,刀豆,温,甘,,胃、肾
257,柿蒂,平,苦、涩,,胃
258,山楂,微温,酸、甘,,脾、胃、肝
259,六神曲,温,甘、辛,,脾、胃
260,建神曲,微温,苦,,
261,麦芽,平,甘,,脾、胃
262,稻芽,温,甘,,脾、胃
263,谷芽,温,甘,,脾、胃
264,莱菔子,平,辛、甘,,脾、胃、肺
265,鸡内金,平,甘,,脾、胃、小肠、膀胱
266,使君子,温,甘,,脾、胃
267,苦谏皮,寒,苦,,肝、脾、胃
268,槟榔,温,苦、辛,,胃、大肠
269,南瓜子,平,甘,,胃、大肠
270,鹤草芽,凉,苦、涩,,肝、小肠、大肠
271,雷丸,寒,微苦,,胃、大肠
272,鹤虱,平,苦、辛,,脾、胃
273,榧子,平,甘,,肺、胃、大肠
274,芜荑,温,辛、苦,,脾、胃
275,小蓟,凉,甘、苦,,心、肝
276,大蓟,凉,肝、苦,,心、肝
277,地榆,微寒,苦、酸、涩,,肝、大肠
278,槐花,微寒,苦,,肝、大肠
279,槐角,寒,苦,,肝、大肠
280,侧柏叶,寒,苦、涩,,肺、肝、脾
281,白茅根,寒,甘,,肺、胃、膀胱
282,苎麻根,寒,甘,,心、肝
283,羊蹄,寒,苦,,心、肝、大肠
284,土大黄,凉,苦、辛,,心、肺
285,三七,温,微苦,,肝、胃
286,菊叶三七,平,甘、微苦,,肝、胃
287,景天三七,平,甘、微酸,,心、肝
288,茜草,寒,苦,,肝
289,蒲黄,平,甘,,肝、心包
290,花蕊石,平,酸、涩,,肝
291,白及,微寒,苦、甘、涩,,肺、胃、肝
292,仙鹤草,平,苦、涩,,心、肝
293,紫竹叶,凉,苦、涩,,肝、肺、胃
294,大叶紫珠,平,辛、苦,,肝、肺、胃
295,棕榈炭,平,苦、涩,,肝、肺、大肠
296,血余炭,平,苦,,肝、胃
297,藕节,平,甘、涩,,肝、肺、胃
298,艾叶,温,辛、苦,,肝、脾、肾
299,炮姜,热,辛,,脾、胃、肾
300,灶心土,温,辛,,脾、胃
301,川芎,温,辛,,肝、胆、心包
302,延胡索,温,辛、苦,,肝、脾、心
303,郁金,寒,辛、苦,,肝、胆、心、肺
304,姜黄,温,辛、苦,,肝、脾
305,片姜黄,温,辛、苦,,脾、肝
306,乳香,温,辛、苦,,心、肝、脾
307,没药,平,辛,,辛、肝、脾
308,五灵脂,温,苦、咸、甘,,肝
309,降香,温,辛,,肝、脾
310,丹参,微寒,苦,,心、肝
311,红花,温,辛,,心、肝
312,西红花,微寒,甘,,心、肝
313,桃仁,平,苦、甘,,心、肝、大肠
314,益母草,微寒,苦、辛,,肝、心包、膀胱
315,茺蔚子,微寒,辛、苦,,心包、肝
316,泽兰,微温,苦、辛,,肝、脾
317,牛膝,平,苦、甘、酸,,肝、肾
318,川牛膝,平,甘、微苦,,肝、肾
319,土牛膝,平,苦、酸,,肝、肾
320,鸡血藤,温,苦、甘,,肝、肾
321,王不留行,平,苦,,肝、胃
322,月季花,温,甘,,肝
323,凌霄花,寒,甘、酸,,肝、心包
324,土鳖虫,寒,咸,,肝
325,马钱子,温,苦,,肝、脾
326,自然铜,平,辛,,肝
327,苏木,平,甘、咸,,心、肝、脾
328,骨碎补,温,苦,,肝、肾
329,血竭,平,甘、咸,,心、肝
330,儿茶,微寒,苦、涩,,心、肺
331,刘寄奴,温,苦,,心、肝、脾
332,北刘寄奴,寒,苦,,脾、胃、肝、胆
333,莪术,温,辛、苦,,肝、脾
334,三棱,平,辛、苦,,肝、脾
335,水蛭,平,咸、苦,,肝
336,虻虫,微寒,苦,,肝
337,斑蝥,热,辛,,肝、胃、肾
338,穿山甲,微寒,咸,,肝、胃
339,半夏,温,辛,,脾、胃、肺
340,半夏曲,温,甘、微辛,,脾、胃
341,水半夏,温,辛,,脾、肺
342,天南星,温,苦、辛,,肺、肝、脾
343,胆南星,凉,微辛、苦,,肺、肝、脾
344,白附子,温,辛,,胃、肝
345,芥子,温,辛,,肺
346,皂荚,温,辛、咸,,肺、大肠
347,皂荚刺,温,辛,,肝、胃
348,旋覆花,微温,辛、苦、咸,,肺、脾、胃、大肠
349,金沸草,温,苦、辛、咸,,肺、大肠
350,白前,微温,辛、苦,,肺
351,猫爪草,温,甘、辛,,肝、肺
352,川贝母,微寒,苦、甘,,肺、心
353,平贝母,微寒,苦、甘,,肺、心
354,伊贝母,微寒,苦、甘,,肺、心
355,浙贝母,寒,苦,,肺、心
356,湖北贝母,凉,微苦,,肺、心
357,土贝母,微寒,苦,,肺、脾
358,瓜蒌,寒,甘、微苦,,肺、胃、大肠
359,瓜蒌皮,寒,甘,,肺、胃
360,瓜蒌子,寒,甘,,肺、胃
361,竹茹,微寒,甘,,肺、胃、心、胆
362,竹沥,寒,甘,,心、肺、肝
363,天竺黄,寒,甘,,心、肝
364,前胡,微寒,苦、辛,,肺
365,桔梗,平,苦、辛,,肺
366,胖大海,寒,甘,,肺、大肠
367,罗汉果,凉,甘,,肺、大肠
368,海藻,寒,苦、咸,,肝、胃、肾
369,昆布,寒,咸,,肝、胃、肾
370,黄药子,寒,苦,,肺、肝、心
371,海蛤壳,寒,苦、咸,,肺、肾、胃
372,海浮石,寒,咸,,肺、肾
373,瓦楞子,平,咸,,肺、胃、肝
374,礞石,平,甘、咸,,肺、心、肝
375,苦杏仁,微温,苦,,肺、大肠
376,甜杏仁,平,甘,,肺、大肠
377,紫苏子,温,辛,,肺、大肠
378,百部,微温,甘、苦,,肺
379,紫菀,温,辛、苦,,肺
380,款冬花,温,辛、微苦,,肺
381,马兜铃,微寒,苦,,肺、大肠
382,青木香,寒,辛、苦,,肝、胃
383,天仙藤,温,苦,,肝、脾、肾
384,枇杷叶,微寒,苦,,肺、胃
385,桑白皮,寒,甘,,肺
386,葶苈子,大寒,辛、苦,,肺、膀胱
387,白果,平,甘、苦、涩,,肺、肾
388,银杏叶,平,甘、苦、涩,,心、肺
389,矮地茶,平,微苦、辛,,肺、肝
390,洋金花,温,辛,,肺、肝
391,朱砂,微寒,甘,,心
392,磁石,寒,咸,,心、肝、肾
393,龙骨,平,涩、甘,,心、肝、肾
394,龙齿,凉,甘、涩,,心、肝
395,琥珀,平,甘,,心、肝、膀胱
396,酸枣仁,平,甘、酸,,肝、胆、心
397,柏子仁,平,甘,,心、肾、大肠
398,灵芝,平,甘,,心、肺、甘、肾
399,首乌藤,平,甘,,心、肝
400,合欢皮,平,甘,,心、肝、肺
401,合欢花,平,甘,,心、肝
402,远志,温,苦、辛,,心、肾、肺
403,石决明,寒,咸,,肝
404,珍珠母,寒,咸,,肝、心
405,牡蛎,微寒,咸,,肝、胆、肾
406,紫贝母,平,咸,,肝
407,代赭石,寒,苦,,肝、心、肺、胃
408,刺蒺藜,微温,辛、苦,,肝
409,罗布麻叶,凉,甘、苦,,肝
410,羚羊角,寒,咸,,肝、心
411,山羊角,寒,咸,,肝
412,牛黄,凉,苦,,心、肝
413,人工牛黄,凉,苦,,心、肝
414,珍珠,寒,甘、咸,,心、肝
415,钩藤,凉,甘,,肝、心包
416,天麻,平,甘,,肝
417,密环菌,平,甘,,肝
418,地龙,寒,咸,,肝、脾、膀胱
419,全蝎,平,辛,,肝
420,蜈蚣,温,辛,,肝
421,僵蚕,平,辛、咸,,肝、肺、胃
422,僵蛹,平,咸、辛,,肝、肺、胃
423,雄蚕蛾,温,咸,,肝、肾
424,麝香,温,辛,,心、脾
425,人工麝香,温,辛,,心、脾
426,冰片,微寒,辛、苦,,心、脾、肺
427,苏合香,温,辛,,心、脾
428,安息香,平,辛、苦,,心、脾
429,石菖蒲,温,辛、苦,,心、胃
430,九节菖蒲,温,辛,,心、肝、脾
431,人参,微温,甘、微苦,,脾、肺、心、肾
432,红参,微温,微苦、甘,,脾、肺、心、肾
433,人参叶,寒,苦、甘,,肺、胃
434,西洋参,凉,微苦、甘,,心、肺、肾
435,党参,平,甘,,脾、肺
436,明党参,微苦,甘,,肺、脾、肝
437,太子参,平,甘、微苦,,脾、肺
438,黄芪,微温,甘,,脾、肺
439,红芪,微温,甘,,肺、脾
440,白术,温,甘、苦,,脾、胃
441,山药,平,甘,,脾、肺、肾
442,白扁豆,微温,甘,,脾、胃
443,扁豆衣,微温,甘,,脾、胃
444,扁豆花,平,甘、淡,,脾、胃
445,甘草,平,甘,,心、肺、平、肺、胃
446,大枣,温,甘,,脾、胃、心
447,刺五加,温,微苦、甘,,脾、肺、肾、心
448,绞股蓝,寒,甘、苦,,脾、肺
449,红景天,平,甘、苦,,肺、脾、心
450,沙棘,温,甘、酸、涩,,脾、胃、肺、心
451,饴糖,温,甘,,脾、胃、 肺
452,蜂蜜,平,甘,,肺、脾、大肠
453,蜂胶,寒,辛、苦,,脾、胃
454,鹿茸,温,甘、咸,,肾、肝
455,鹿角,温,咸,,肾、肝
456,鹿角胶,温,甘、咸,,肾、肝
457,鹿角霜,温,咸、涩,,肝、肾
458,紫河车,温,甘、咸,,肺、肝、肾
459,脐带,温,甘、咸,,肾
460,淫羊藿,温,辛、甘,,肝、肾
461,巴戟天,微温,甘、辛,,肾、肝
462,仙茅,热,辛,,肾、肝、脾
463,葫芦巴,温,苦,,肾
464,杜仲,温,甘,,肝、肾
465,杜仲叶,温,微辛,,肝、肾
466,断续,微温,苦、辛,,肝、肾
467,肉苁蓉,温,甘、咸,,肾、大肠
468,锁阳,温,甘,,肝、肾、大肠
469,补骨脂,温,辛、苦,,肾、脾
470,益智仁,温,辛、温,,脾、肾
471,菟丝子,平,辛、甘,,肝、肾、脾
472,沙苑子,温,甘,,肝、肾
473,蛤蚧,平,咸,,肺、肾
474,核桃仁,温,甘,,肾、肺、大肠
475,冬虫夏草,平,甘,,肺、肾
476,韭菜子,温,辛、甘,,肝、肾
477,阳起石,温,咸,,肾
478,紫石英,温,甘,,肾、心、肺
479,海狗肾,热,咸,,肾
480,黄狗肾,温,咸,,肾
481,海马,温,甘、咸,,肝、肾
482,海龙,温,甘、咸,,肝、肾
483,蛤蟆油,平,肝、咸,,肺、肾
484,当归,温,辛、甘,,肝、心、脾
485,熟地黄,微温,甘,,肝、肾
486,白芍,微寒,苦、酸,,肝、脾
487,阿胶,平,甘,,肺、肝、肾
488,何首乌,微温,苦、甘、涩,,肝、心、肾
489,龙眼肉,温,甘,,心、脾
490,北沙参,微寒,甘、微苦,,肺、胃
491,南沙参,微寒,甘,,肺、胃
492,百合,微寒,甘,,心、肺
493,麦冬,微寒,甘,,心、肺、胃
494,天冬,寒,甘、苦,,肺、肾
495,石斛,微寒,甘,,胃、肾
496,铁皮石斛,微寒,甘,,胃、肾
497,玉竹,微寒,甘,,肺、胃
498,黄精,平,甘,,脾、肺、肾
499,枸杞子,平,甘,,肝、肾
500,墨旱莲,寒,甘、酸,,肾、肝
501,女贞子,凉,甘、苦,,肝、肾
502,桑葚,寒,甘、酸,,心、肝、肾
503,黑芝麻,平,甘,,肝、肾、大肠
504,龟甲,微寒,甘、咸,,肝、肾、心
505,龟甲胶,凉,咸、甘,,肝、肾、心
506,鳖甲,微寒,咸,,肝、肾
507,麻黄根,平,甘、涩,,心、肺
508,浮小麦,凉,甘,,心
509,小麦,微寒,甘,,心
510,糯稻根,平,甘,,肺、胃、肾
511,五味子,温,酸、甘,,肺、心、肾
512,乌梅,平,酸、涩,,肝、脾、肺、大肠
513,五倍子,寒,酸、涩,,肺、大肠、肾
514,罂粟壳,平,酸、涩,,肺、大肠、肾
515,诃子,平,苦、酸、涩,,肺、大肠
516,石榴皮,温,酸、涩,,大肠
517,肉豆蔻,温,辛,,脾、胃、大肠
518,赤石脂,温,甘、酸、涩,,大肠、胃
519,禹余粮,微寒,甘、涩,,胃、大肠
520,山茱萸,微温,酸、涩,,肝、肾
521,覆盆子,温,甘、酸,,肝、肾、膀胱
522,桑螵蛸,平,甘、咸,,肝、肾
523,海螵蛸,温,咸、涩,,脾、肾
524,金樱子,平,酸、甘、涩,,肾、膀胱、大肠
525,莲子,平,甘、涩,,脾、肾、心
526,莲须,平,甘、涩,,心、肾
527,莲房,温,苦、涩,,肝
528,莲子心,寒,苦、寒,,心、肾
529,荷叶,平,苦,,肝、脾、胃
530,荷梗,平,苦,,肺、脾、胃
531,石莲子,寒,甘、涩、微苦,,脾、胃、心
532,芡实,平,甘、涩,,脾、肾
533,刺猬皮,平,苦、涩,,肾、胃、大肠
534,椿皮,寒,苦、涩,,大肠、胃、肝
535,鸡冠花,凉,甘、涩,,肝、大肠
536,常山,寒,苦、辛,,肺、肝、心
537,蜀漆,寒,苦、辛,,肺、肝、心
538,甜瓜蒂,寒,苦,,胃、胆
539,胆矾,寒,酸、辛,,肝、胆
540,藜芦,寒,苦、辛,,肺、肝、胃
541,雄黄,温,辛,,肝、大肠
542,硫黄,温,酸,,肾、大肠
543,白矾,寒,酸、涩,,肺、脾、肝、大肠
544,皂矾,凉,酸,,肝、脾
545,蛇床子,温,辛、苦,,肾
546,土荆皮,温,辛,,肺、脾
547,木槿皮,微寒,甘,,大肠、肝、脾
548,蜂房,平,甘,,胃
549,蜂房,微温,甘,,脾
550,樟脑,热,辛,,心、脾
551,蟾酥,温,辛,,心
552,蟾皮,凉,辛,,
553,守宫,寒,咸,,肝、心
554,大蒜,温,辛,,脾、胃、肺
555,红粉,热,辛,,肺、脾
556,轻粉,寒,辛,,大肠、小肠
557,水银,寒,辛,,心、肝、肾
558,砒石,大热,辛,,肺、脾、肝
559,铅丹,寒,辛、咸,,心、脾、肝
560,密陀僧,平,咸、辛,,肝、脾
561,炉甘石,平,甘,,肝、脾
562,硼砂,凉,甘、咸,,肺、胃
